14:40:44.651 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: file\figure.txt
14:41:13.874 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: file\figure.txt
14:42:03.760 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: file\figure.txt
14:43:13.700 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: file\figure.txt
14:43:17.527 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: file\figure.txt
14:43:42.600 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: resources\file\figure.txt
14:44:08.405 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: figure.txt
14:44:47.833 [main] ERROR by.task.komar.reader.ConeReader - Error in reader: shape\src\main\resources\file\figure.txt
15:00:07.329 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, coneId=1}: 130.72951471480383
15:00:07.333 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, coneId=1}: 83.77580409572782
15:00:07.335 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 1.1, 1.2}, radius=1.3, coneId=2}: 13.111897222949334
15:00:07.337 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{1.0, 1.1, 1.2}, radius=1.3, coneId=2}: 2.47766940613115
15:00:07.337 [main] ERROR by.task.komar.factory.ShapeFactory - Can't be cone
15:02:37.381 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, coneId=1}: 130.72951471480383
15:02:38.949 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, coneId=1}: 83.77580409572782
15:03:05.044 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 1.1, 1.2}, radius=1.3, coneId=2}: 13.111897222949334
15:03:05.715 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Volume of cone Cone{center=Point{1.0, 1.1, 1.2}, radius=1.3, coneId=2}: 2.47766940613115
15:03:42.838 [main] ERROR by.task.komar.factory.ShapeFactory - Can't be cone
15:05:30.772 [main] INFO  by.task.komar.service.impl.CalculationServiceImpl - Surface area of cone Cone{center=Point{1.0, 2.0, 3.0}, radius=4.0, coneId=1}: 130.72951471480383
